review,true_stars,raw_output,stars,key_point,business_response,parse_ok,faithfulness,actionability,judge_reason
Very slow -- even without a lot of customers -- and very disorganized. You can't pay with the Starbucks app -- they have to take your phone and key in the number by hand!,2,"{
  ""stars"": 2,
  ""key_point"": ""Service was slow and disorganized, and mobile payment was inconvenient."",
  ""business_response"": ""Thank you for your feedback and for bringing these concerns to our attention. We apologize for the slow service and the inconvenience with our payment process. We're working on improving our efficiency and updating our payment systems to better serve our customers.""
}",2,"Service was slow and disorganized, and mobile payment was inconvenient.",Thank you for your feedback and for bringing these concerns to our attention. We apologize for the slow service and the inconvenience with our payment process. We're working on improving our efficiency and updating our payment systems to better serve our customers.,True,5,5,"The key_point accurately summarizes the review, and the business_response is polite, relevant, and addresses both issues raised."
Food is ok but for the love of Pete lose the  iPad check pay system! We want paper checks!!!  After having lunch with friends we were shown our individual bills on an iPad and asked to finger sign. Lunch with one entree and no drink was over $22 each with tax and tip. Really?  No detail of our bills and no paper receipts. Bad!!!,1,"{
  ""stars"": 2,
  ""key_point"": ""The customer is frustrated with the iPad payment system and lack of paper receipts."",
  ""business_response"": ""Thank you for your feedback and for dining with us. We apologize for any inconvenience caused by our digital payment system and understand your preference for paper receipts. We will review our procedures to ensure a smoother experience and appreciate your input as we strive to improve.""
}",2,The customer is frustrated with the iPad payment system and lack of paper receipts.,Thank you for your feedback and for dining with us. We apologize for any inconvenience caused by our digital payment system and understand your preference for paper receipts. We will review our procedures to ensure a smoother experience and appreciate your input as we strive to improve.,True,5,5,"The key point accurately summarizes the main complaint about the iPad payment system and lack of paper receipts, and the business response is polite, relevant, and addresses the customer's concerns professionally."
"I was honestly just shocked to find Gluten Free pizza`so close to home!  While I can't vouch for the reguar pizza, I would recommend the GF pizza without a doubt.  The only downside is that it takes a much longer time to prepare, but I don't think that's the fault of Fuel.  The people are always friendly and more than happy to keep us entertained while we wait for our pizza!",4,"{
  ""stars"": 5,
  ""key_point"": ""The reviewer highly recommends the gluten-free pizza and appreciates the friendly staff, though notes it takes longer to prepare."",
  ""business_response"": ""Thank you so much for your kind words and recommendation of our gluten-free pizza! We appreciate your patience with the longer preparation time and are glad our team could make your experience enjoyable. We look forward to welcoming you back soon!""
}",5,"The reviewer highly recommends the gluten-free pizza and appreciates the friendly staff, though notes it takes longer to prepare.",Thank you so much for your kind words and recommendation of our gluten-free pizza! We appreciate your patience with the longer preparation time and are glad our team could make your experience enjoyable. We look forward to welcoming you back soon!,True,5,5,"The key point accurately summarizes the review, and the business response is polite, relevant, and professionally useful."
"DO NOT GET KEYS MADE HERE!\n\nI am so annoyed with this Ace. I moved into a new place and needed to get keys made. The cashier paged someone and after waiting about 15 minutes I headed toward the exit, then he finally arrived. I had 5 keys made, 2 didn't fit.  Went back to have the 2 fixed, 1 still didn't work. Ugh!\n\nFast forward a year later and keep in mind my deteriorating memory, I once again had to get keys made and returned to this location. I got 5 made, 2 didn't work (sound familiar). When I went  back to get the keys fixed the woman who helped me told me it is not usually the fault of the people cutting the keys, but the calibration of the machine. She assured me the machine was just calibrated so we should have no issues. \n\nAnd guess what? One of the keys STILL doesn't fit.",1,"{
  ""stars"": 1,
  ""key_point"": ""Multiple visits resulted in keys that did not work, with ongoing issues despite assurances about machine calibration."",
  ""business_response"": ""We're truly sorry for the repeated inconvenience you've experienced with our key cutting service. Your feedback is important, and we will review our machine calibration process and staff training to ensure better results in the future. Please contact us directly so we can make this right for you.""
}",1,"Multiple visits resulted in keys that did not work, with ongoing issues despite assurances about machine calibration.","We're truly sorry for the repeated inconvenience you've experienced with our key cutting service. Your feedback is important, and we will review our machine calibration process and staff training to ensure better results in the future. Please contact us directly so we can make this right for you.",True,5,5,"The key_point accurately summarizes the repeated issues described in the review, and the business_response is polite, relevant, and offers a constructive next step."
"Honest, good group of people.  They don't try to sell you tires every time you come in.  They have fixed my tires twice, rotated twice and have not charged me.  Chad was very helpful and pleasant.  This is the best Discount Tire in the area.  4.5 only because they didn't tighten my hub cover the last time I was there and almost lost it.",4,"{
  ""stars"": 4,
  ""key_point"": ""Great service and honesty, but a hub cover was not tightened properly during the last visit."",
  ""business_response"": ""Thank you for your kind words and for highlighting Chad's helpfulness. We apologize for the oversight with your hub cover and appreciate you bringing it to our attention. Your feedback helps us improve, and we hope to serve you even better next time.""
}",4,"Great service and honesty, but a hub cover was not tightened properly during the last visit.","Thank you for your kind words and for highlighting Chad's helpfulness. We apologize for the oversight with your hub cover and appreciate you bringing it to our attention. Your feedback helps us improve, and we hope to serve you even better next time.",True,5,5,"The key point accurately summarizes both the positive and negative aspects of the review, and the business response is polite, relevant, and addresses the customer's feedback professionally."
"This Panera (Gosh, they popped up everywhere) is standard Panera I'd say. Smaller patio on the sidewalk and not the most inviting of patios in the small strip of a larger shopping area with Lowe's and Walmart . I usually find someone will come and smoke near you if you sit outside here for a little while (Must resist the urge to slap the person).\nUsually clean but have found the Internets here a little slower than other Panera's. \nBagel's are pretty good but get chewier as the day progresses and i don't usually make it to a Panera until the evening.  Find the food to be a little pricer for the same fare as Jason's Deli or McCalister's but always pretty fresh and good. \nLove the Chicken Noodle Soup though, my favorite!!",3,"{
  ""stars"": 4,
  ""key_point"": ""The reviewer enjoys the fresh food, especially the Chicken Noodle Soup, but notes the patio is less inviting, Wi-Fi can be slow, and prices are a bit higher than competitors."",
  ""business_response"": ""Thank you for your thoughtful feedback and for being a fan of our Chicken Noodle Soup! We appreciate your comments about the patio, Wi-Fi, and pricing, and will share them with our team as we strive to improve. We hope to continue serving you fresh meals and a welcoming experience on every visit.""
}",4,"The reviewer enjoys the fresh food, especially the Chicken Noodle Soup, but notes the patio is less inviting, Wi-Fi can be slow, and prices are a bit higher than competitors.","Thank you for your thoughtful feedback and for being a fan of our Chicken Noodle Soup! We appreciate your comments about the patio, Wi-Fi, and pricing, and will share them with our team as we strive to improve. We hope to continue serving you fresh meals and a welcoming experience on every visit.",True,5,5,"The key point accurately summarizes the review's main positives and negatives, and the business response is polite, relevant, and addresses the feedback professionally."
"4 stars for being able to get a tasty and good-sized portion of spicy Malaysian Chicken Fried Rice, late afternoon without leaving Bellagio. Soaked up some of the day's excess alcohol wonderfully.\n\nA star off for having to pay Bellagio prices for the above.",3,"{
  ""stars"": 4,
  ""key_point"": ""The customer enjoyed the tasty and generous portion of Malaysian Chicken Fried Rice but felt the prices were high."",
  ""business_response"": ""Thank you for your feedback and for choosing us for your late afternoon meal. We're glad you enjoyed the Malaysian Chicken Fried Rice and appreciate your comments about our pricing. We strive to offer quality and value, and your input helps us improve the experience for all our guests.""
}",4,The customer enjoyed the tasty and generous portion of Malaysian Chicken Fried Rice but felt the prices were high.,"Thank you for your feedback and for choosing us for your late afternoon meal. We're glad you enjoyed the Malaysian Chicken Fried Rice and appreciate your comments about our pricing. We strive to offer quality and value, and your input helps us improve the experience for all our guests.",True,5,5,"The key point accurately summarizes the review, and the business response is polite, relevant, and professionally useful."
"SHC Crossfit is Fantastic... It has changed my life, seriously, I love it.  I started crossfit at another box that was twice the cost of this box.  SHC Crossfit is not only less expensive it also has far better coaching than my 1st box!  Come check out SHC Crossfit... you won't be disappointed.",5,"{
  ""stars"": 5,
  ""key_point"": ""The reviewer praises SHC Crossfit for its life-changing impact, excellent coaching, and affordable pricing."",
  ""business_response"": ""Thank you so much for your wonderful review! We're thrilled to hear that you've had such a positive experience with our coaching and pricing. We appreciate your recommendation and look forward to supporting you on your fitness journey.""
}",5,"The reviewer praises SHC Crossfit for its life-changing impact, excellent coaching, and affordable pricing.",Thank you so much for your wonderful review! We're thrilled to hear that you've had such a positive experience with our coaching and pricing. We appreciate your recommendation and look forward to supporting you on your fitness journey.,True,5,5,"The key_point accurately summarizes the review's main points, and the business_response is polite, relevant, and professionally acknowledges the feedback."
"I stayed at the Palazzo but accidentally checked in at the Venetian. The lady that checked me in was very rude and talk down to me. Every question I asked she acted like I was burdening her. She then gave me directions to the Venetian side and we carried our luggage all the way to the 18th floor not realizing we had to go to the 18th floor of the Palazzo. She checked me in, she should have directed metro the palazzo. The Palazzo hotel was great.",2,"{
  ""stars"": 2,
  ""key_point"": ""The front desk staff at the Venetian was rude and gave incorrect directions, causing inconvenience."",
  ""business_response"": ""Thank you for sharing your experience with us. We sincerely apologize for the confusion and the way you were treated at check-in, as this is not the standard we strive for. We're glad you enjoyed your stay at the Palazzo, and we will address your feedback with our team to ensure better service in the future.""
}",2,"The front desk staff at the Venetian was rude and gave incorrect directions, causing inconvenience.","Thank you for sharing your experience with us. We sincerely apologize for the confusion and the way you were treated at check-in, as this is not the standard we strive for. We're glad you enjoyed your stay at the Palazzo, and we will address your feedback with our team to ensure better service in the future.",True,5,5,"The key point accurately summarizes the review's main issues, and the business response is polite, relevant, and addresses the customer's concerns professionally."
"Eh.  For the big Irish pub on the square, this is just average.  I like the ambiance.  It is a place to sit and have a pint while chatting with friends.  It never gets too loud.  Upstairs, the couches are fun, almost Alice in Wonderland inspired.  \n\nPrices are a bit high, but if you happen to luck out for happy hour then you are golden.  They have happy hour everyday from 10pm to close.  It is a nice place to end your day and get a deal. \n\nI have had their food a couple of time.  It is ok.  I am just not overly excited about this place.  They always card. ALWAYS.  Kind of annoying because I am obviously over 21 and there creates this HUGE congestion at the door.  \n\nI do not hate this place but I do not love it.",3,"{
  ""stars"": 3,
  ""key_point"": ""The ambiance is enjoyable and happy hour is a good deal, but the food is average and the strict carding policy causes congestion at the door."",
  ""business_response"": ""Thank you for sharing your honest feedback. We're glad you enjoy our ambiance and happy hour specials, and we appreciate your comments about our food and entrance process. We'll take your suggestions into consideration to improve the experience for all our guests.""
}",3,"The ambiance is enjoyable and happy hour is a good deal, but the food is average and the strict carding policy causes congestion at the door.","Thank you for sharing your honest feedback. We're glad you enjoy our ambiance and happy hour specials, and we appreciate your comments about our food and entrance process. We'll take your suggestions into consideration to improve the experience for all our guests.",True,5,5,"The key point accurately summarizes the review, and the business response is polite, relevant, and shows willingness to improve."
"For a place that just opens pre-made packages and plops them on a salad-bar, I would think that this effort might not have been to challenging. Perhaps I had my hopes up too high.\n\nI went here for a quick bite as I had business in the neighborhood. I must say, I would have done better anywhere else. The salad selection was less than fresh to say the least. A person kept barging out of the back to refill things, and was super surley. Just get in her way and get an elbow.\n\nAfter the salad selection are random canned things. I guess those were ok. I am not sure.\n\nThey also have a \""hot bar\"". This is where things get really depressing. They had a kind-of taco set-up thing going with what appeared to be ground beef. Except it wasn't! It was straight-up textured vegetable protein! Who even does that? I got a baked sweet potato, and that thing had been sitting under a heat lamp for what seemed weeks and was inedible. The soups were just blah. Who serves french onion soup without the topping? The pizzas they had on the platter were less than what you would expect from the cheapest of frozen pizzas.\n\nJust all in all horrible. I left having drank and unsweetened ice tea and left a plate from the all-you-can-eat salad bar totally full.\n\nWhat a waste of time and money. This place is gross.",1,"{
  ""stars"": 1,
  ""key_point"": ""The reviewer was disappointed by the freshness and quality of the food, as well as the service and overall experience."",
  ""business_response"": ""We're very sorry to hear about your disappointing experience and appreciate your detailed feedback. We strive to provide fresh food and friendly service, and clearly fell short during your visit. If you'd be willing to reach out to us directly, we'd like to learn more and see how we can make things right.""
}",1,"The reviewer was disappointed by the freshness and quality of the food, as well as the service and overall experience.","We're very sorry to hear about your disappointing experience and appreciate your detailed feedback. We strive to provide fresh food and friendly service, and clearly fell short during your visit. If you'd be willing to reach out to us directly, we'd like to learn more and see how we can make things right.",True,5,5,"The key point accurately summarizes the review's main complaints about food quality and service, and the business response is polite, relevant, and invites further contact to resolve the issue."
"I would give this place 2.5 stars.\nThere was nothing really terrible about kofusion but there wasn't anything that great about it either!\nAtmosphere- fine. A little sparkly for my taste but whatever. It was busy, otherwise sitting outside on the patio would have been much nicer.\nService- I know it was busy but the service was a mess. The food came out really fast but none of us had chopsticks, or soy sauce, or ginger, or wasabi, and they were about to just leave us! Not to mention trying to get a drink!\nFood- pretty bland and mushy with a couple good standouts on my sampler plate. I swear, one of the bad ones must have been the bologna of the sea because it looked/tasted like a hunk of spam stuffed into a roll form topped with some sauce. I spit that one out. \nThere were a couple good pieces that after I try every other sushi restaurant in C-U I might come back for.",2,"{
  ""stars"": 2,
  ""key_point"": ""Service was disorganized and the food was mostly bland, with only a few standout items."",
  ""business_response"": ""Thank you for sharing your feedback with us. We're sorry to hear that your experience with our service and some of our dishes did not meet your expectations. We appreciate your honest comments and will use them to improve both our service and menu offerings.""
}",2,"Service was disorganized and the food was mostly bland, with only a few standout items.",Thank you for sharing your feedback with us. We're sorry to hear that your experience with our service and some of our dishes did not meet your expectations. We appreciate your honest comments and will use them to improve both our service and menu offerings.,True,5,5,"The key point accurately summarizes the review's main criticisms, and the business response is polite, relevant, and addresses the customer's concerns professionally."
"I'm on a quest to find a phoenix and dragon similar to my favorite Chinese place in Indy. This is the closet I've come, much to my disappointment. This restaurant keeps getting into my apartment building, despite the security doors. Today they just stuck them in the elevator. Which I thought was pretty neat compared to their normal door spamiming. Then I went down to the first floor and realized they also just scattered them all over the floor.\n\nIn my phoenix and dragon I had five \""jumbo\"" shrimps. Which are really just average sized shrimp. The only thing I can think of is that they consider the mini shrimp some Chinese places have as normal. I guess compared to those the shrimp is jumbo. The \""spicy chicken\"" is just general tso's. I got medium spice which was barely spicy at all. Most of my dish ended up being peas, carrots, and onions in a weird \""spicy\"" sauce that wasn't very good.\n\nI also got the rangoons. Some one else mentioned in this that they don't really have much crab. Which is an understatement. There's maybe a flick of crab in each. They're still fairly good, just not crab.\n\nI suppose the worst part was delivery time. The confirmation email doesn't come with a estimated delivery. Whatever, my boyfriend and I expect 40 minutes like normal. 40 minute mark rolls around and we haven't gotten a call. Since our buzzer system isn't set up we were worried that they didn't see the note to call and were buzzing us. The person who answers says it's in the car and close. 20 minutes later we're still waiting. My boyfriend calls back and goes to give his info. The lady says, \""Oh, you just called. It's almost there,\"" and that was it. Uhm. Ok. A little less than 10 minutes later and it arrives. The driver apologized and It was still hot. So there's that.\n\ntl;dr small portions, not jumbo shrimp, not spicy, not very good, long wait, unfriendly staff on the phones, friendly drivers, and they litter my apartment building a lot.",1,"{
  ""stars"": 2,
  ""key_point"": ""The reviewer was disappointed with the food quality, misleading portion sizes, lack of spice, and poor delivery practices."",
  ""business_response"": ""Thank you for your detailed feedback. We're sorry to hear that your experience with our food and delivery did not meet your expectations. We appreciate your comments and will use them to improve our menu descriptions, food quality, and delivery process to better serve our customers in the future.""
}",2,"The reviewer was disappointed with the food quality, misleading portion sizes, lack of spice, and poor delivery practices.","Thank you for your detailed feedback. We're sorry to hear that your experience with our food and delivery did not meet your expectations. We appreciate your comments and will use them to improve our menu descriptions, food quality, and delivery process to better serve our customers in the future.",True,5,5,"The key point accurately summarizes the review's main complaints, and the business response is polite, relevant, and addresses the issues raised."
