review,stars,raw_output,stars_pred,reasoning,mismatch
Very slow -- even without a lot of customers -- and very disorganized. You can't pay with the Starbucks app -- they have to take your phone and key in the number by hand!,2,"Reasoning: The reviewer expresses frustration with the slow service and disorganization, even when the store is not busy. Additionally, they are dissatisfied with the payment process, specifically the inconvenience of not being able to use the Starbucks app directly. There are no positive comments, and the tone is clearly negative.
Stars: 2",2,"The reviewer expresses frustration with the slow service and disorganization, even when the store is not busy. Additionally, they are dissatisfied with the payment process, specifically the inconvenience of not being able to use the Starbucks app directly. There are no positive comments, and the tone is clearly negative.",False
Food is ok but for the love of Pete lose the  iPad check pay system! We want paper checks!!!  After having lunch with friends we were shown our individual bills on an iPad and asked to finger sign. Lunch with one entree and no drink was over $22 each with tax and tip. Really?  No detail of our bills and no paper receipts. Bad!!!,1,"Reasoning: The reviewer mentions that the food is ""ok,"" which suggests a neutral or slightly positive experience with the food itself. However, the main focus of the review is on the negative experience with the payment system. The reviewer strongly dislikes the iPad check pay system, expressing frustration about the lack of paper checks and receipts, and the inability to see bill details. Additionally, they feel the price is too high for what they received. The overall tone is dissatisfied, with emphasis on the negative aspects outweighing the neutral food comment.
Stars: 2",2,"The reviewer mentions that the food is ""ok,"" which suggests a neutral or slightly positive experience with the food itself. However, the main focus of the review is on the negative experience with the payment system. The reviewer strongly dislikes the iPad check pay system, expressing frustration about the lack of paper checks and receipts, and the inability to see bill details. Additionally, they feel the price is too high for what they received. The overall tone is dissatisfied, with emphasis on the negative aspects outweighing the neutral food comment.",False
"I was honestly just shocked to find Gluten Free pizza`so close to home!  While I can't vouch for the reguar pizza, I would recommend the GF pizza without a doubt.  The only downside is that it takes a much longer time to prepare, but I don't think that's the fault of Fuel.  The people are always friendly and more than happy to keep us entertained while we wait for our pizza!",4,"Reasoning: The reviewer is very pleased to have found gluten-free pizza nearby and highly recommends it. They mention a downside (longer preparation time), but they don't blame the restaurant for it. The staff is described as friendly and entertaining, which adds to the positive experience. Overall, the review is very positive with only a minor inconvenience mentioned.
Stars: 5",5,"The reviewer is very pleased to have found gluten-free pizza nearby and highly recommends it. They mention a downside (longer preparation time), but they don't blame the restaurant for it. The staff is described as friendly and entertaining, which adds to the positive experience. Overall, the review is very positive with only a minor inconvenience mentioned.",False
"DO NOT GET KEYS MADE HERE!\n\nI am so annoyed with this Ace. I moved into a new place and needed to get keys made. The cashier paged someone and after waiting about 15 minutes I headed toward the exit, then he finally arrived. I had 5 keys made, 2 didn't fit.  Went back to have the 2 fixed, 1 still didn't work. Ugh!\n\nFast forward a year later and keep in mind my deteriorating memory, I once again had to get keys made and returned to this location. I got 5 made, 2 didn't work (sound familiar). When I went  back to get the keys fixed the woman who helped me told me it is not usually the fault of the people cutting the keys, but the calibration of the machine. She assured me the machine was just calibrated so we should have no issues. \n\nAnd guess what? One of the keys STILL doesn't fit.",1,"Reasoning: The reviewer expresses strong dissatisfaction with the service, using phrases like ""DO NOT GET KEYS MADE HERE!"" and ""I am so annoyed."" They describe repeated negative experiences: long wait times, keys not working, and unresolved issues even after attempts to fix them. The tone is frustrated and there is no mention of anything positive.
Stars: 1",1,"The reviewer expresses strong dissatisfaction with the service, using phrases like ""DO NOT GET KEYS MADE HERE!"" and ""I am so annoyed."" They describe repeated negative experiences: long wait times, keys not working, and unresolved issues even after attempts to fix them. The tone is frustrated and there is no mention of anything positive.",False
"Honest, good group of people.  They don't try to sell you tires every time you come in.  They have fixed my tires twice, rotated twice and have not charged me.  Chad was very helpful and pleasant.  This is the best Discount Tire in the area.  4.5 only because they didn't tighten my hub cover the last time I was there and almost lost it.",4,"Reasoning: The reviewer expresses a very positive experience overall, highlighting honesty, helpfulness, and free services. They specifically mention that the staff does not upsell, and Chad was pleasant. The reviewer calls this location the best in the area. The only negative mentioned is a minor issue with a hub cover not being tightened, which led them to rate it 4.5 instead of 5. Since Yelp only allows whole stars, and the review is overwhelmingly positive with just one small complaint, this would round up to a 5-star review.
Stars: 5",5,"The reviewer expresses a very positive experience overall, highlighting honesty, helpfulness, and free services. They specifically mention that the staff does not upsell, and Chad was pleasant. The reviewer calls this location the best in the area. The only negative mentioned is a minor issue with a hub cover not being tightened, which led them to rate it 4.5 instead of 5. Since Yelp only allows whole stars, and the review is overwhelmingly positive with just one small complaint, this would round up to a 5-star review.",False
"This Panera (Gosh, they popped up everywhere) is standard Panera I'd say. Smaller patio on the sidewalk and not the most inviting of patios in the small strip of a larger shopping area with Lowe's and Walmart . I usually find someone will come and smoke near you if you sit outside here for a little while (Must resist the urge to slap the person).\nUsually clean but have found the Internets here a little slower than other Panera's. \nBagel's are pretty good but get chewier as the day progresses and i don't usually make it to a Panera until the evening.  Find the food to be a little pricer for the same fare as Jason's Deli or McCalister's but always pretty fresh and good. \nLove the Chicken Noodle Soup though, my favorite!!",3,"Reasoning: The reviewer describes the Panera location as ""standard,"" with some negatives such as a less inviting patio, people smoking outside, and slower internet. They mention the bagels get chewier as the day goes on and that the food is a bit pricier compared to similar places. However, they also note that the food is ""always pretty fresh and good"" and express strong positive sentiment about the Chicken Noodle Soup, calling it their favorite. Overall, the review is mixed but leans slightly positive due to the freshness and quality of the food.
Stars: 3",3,"The reviewer describes the Panera location as ""standard,"" with some negatives such as a less inviting patio, people smoking outside, and slower internet. They mention the bagels get chewier as the day goes on and that the food is a bit pricier compared to similar places. However, they also note that the food is ""always pretty fresh and good"" and express strong positive sentiment about the Chicken Noodle Soup, calling it their favorite. Overall, the review is mixed but leans slightly positive due to the freshness and quality of the food.",False
"4 stars for being able to get a tasty and good-sized portion of spicy Malaysian Chicken Fried Rice, late afternoon without leaving Bellagio. Soaked up some of the day's excess alcohol wonderfully.\n\nA star off for having to pay Bellagio prices for the above.",3,"Reasoning: The reviewer praises the food quality and portion size, specifically mentioning the spicy Malaysian Chicken Fried Rice as tasty and satisfying. They also appreciate the convenience of being able to get this meal late in the afternoon without leaving the Bellagio. However, they deduct one star due to the high prices associated with the Bellagio. Overall, the sentiment is positive with a minor complaint about cost.
Stars: 4",4,"The reviewer praises the food quality and portion size, specifically mentioning the spicy Malaysian Chicken Fried Rice as tasty and satisfying. They also appreciate the convenience of being able to get this meal late in the afternoon without leaving the Bellagio. However, they deduct one star due to the high prices associated with the Bellagio. Overall, the sentiment is positive with a minor complaint about cost.",False
"SHC Crossfit is Fantastic... It has changed my life, seriously, I love it.  I started crossfit at another box that was twice the cost of this box.  SHC Crossfit is not only less expensive it also has far better coaching than my 1st box!  Come check out SHC Crossfit... you won't be disappointed.",5,"Reasoning: The reviewer uses very positive language such as ""fantastic,"" ""changed my life,"" and ""I love it."" They compare SHC Crossfit favorably to another gym, highlighting better coaching and lower cost. The review ends with a strong recommendation, ""you won't be disappointed,"" indicating high satisfaction.
Stars: 5",5,"The reviewer uses very positive language such as ""fantastic,"" ""changed my life,"" and ""I love it."" They compare SHC Crossfit favorably to another gym, highlighting better coaching and lower cost. The review ends with a strong recommendation, ""you won't be disappointed,"" indicating high satisfaction.",False
"I stayed at the Palazzo but accidentally checked in at the Venetian. The lady that checked me in was very rude and talk down to me. Every question I asked she acted like I was burdening her. She then gave me directions to the Venetian side and we carried our luggage all the way to the 18th floor not realizing we had to go to the 18th floor of the Palazzo. She checked me in, she should have directed metro the palazzo. The Palazzo hotel was great.",2,"Reasoning: The reviewer had a negative experience with the check-in staff at the Venetian, describing the employee as rude and unhelpful. The directions given were unclear, causing inconvenience and frustration. However, the reviewer mentions that the Palazzo hotel itself was great, indicating a positive experience with the actual hotel stay. The overall sentiment is mixed, with strong dissatisfaction regarding the check-in process but satisfaction with the hotel itself.
Stars: 3",3,"The reviewer had a negative experience with the check-in staff at the Venetian, describing the employee as rude and unhelpful. The directions given were unclear, causing inconvenience and frustration. However, the reviewer mentions that the Palazzo hotel itself was great, indicating a positive experience with the actual hotel stay. The overall sentiment is mixed, with strong dissatisfaction regarding the check-in process but satisfaction with the hotel itself.",False
"Eh.  For the big Irish pub on the square, this is just average.  I like the ambiance.  It is a place to sit and have a pint while chatting with friends.  It never gets too loud.  Upstairs, the couches are fun, almost Alice in Wonderland inspired.  \n\nPrices are a bit high, but if you happen to luck out for happy hour then you are golden.  They have happy hour everyday from 10pm to close.  It is a nice place to end your day and get a deal. \n\nI have had their food a couple of time.  It is ok.  I am just not overly excited about this place.  They always card. ALWAYS.  Kind of annoying because I am obviously over 21 and there creates this HUGE congestion at the door.  \n\nI do not hate this place but I do not love it.",3,"Reasoning: The reviewer describes the pub as ""just average"" and mentions both positive and negative aspects. Positives include the ambiance, a good place to chat with friends, fun couches, and a nice happy hour. Negatives include high prices, food that is just ""ok,"" and annoyance with the strict ID checking causing congestion. The reviewer explicitly states they do not hate or love the place, indicating a neutral stance. Overall, the tone is lukewarm with a balance of pros and cons, suggesting an average experience.
Stars: 3",3,"The reviewer describes the pub as ""just average"" and mentions both positive and negative aspects. Positives include the ambiance, a good place to chat with friends, fun couches, and a nice happy hour. Negatives include high prices, food that is just ""ok,"" and annoyance with the strict ID checking causing congestion. The reviewer explicitly states they do not hate or love the place, indicating a neutral stance. Overall, the tone is lukewarm with a balance of pros and cons, suggesting an average experience.",False
"For a place that just opens pre-made packages and plops them on a salad-bar, I would think that this effort might not have been to challenging. Perhaps I had my hopes up too high.\n\nI went here for a quick bite as I had business in the neighborhood. I must say, I would have done better anywhere else. The salad selection was less than fresh to say the least. A person kept barging out of the back to refill things, and was super surley. Just get in her way and get an elbow.\n\nAfter the salad selection are random canned things. I guess those were ok. I am not sure.\n\nThey also have a \""hot bar\"". This is where things get really depressing. They had a kind-of taco set-up thing going with what appeared to be ground beef. Except it wasn't! It was straight-up textured vegetable protein! Who even does that? I got a baked sweet potato, and that thing had been sitting under a heat lamp for what seemed weeks and was inedible. The soups were just blah. Who serves french onion soup without the topping? The pizzas they had on the platter were less than what you would expect from the cheapest of frozen pizzas.\n\nJust all in all horrible. I left having drank and unsweetened ice tea and left a plate from the all-you-can-eat salad bar totally full.\n\nWhat a waste of time and money. This place is gross.",1,"Reasoning: The reviewer expresses strong dissatisfaction throughout the review. They criticize the freshness and quality of the food, the attitude of the staff, and the overall experience. Words like ""less than fresh,"" ""super surley,"" ""depressing,"" ""inedible,"" ""just blah,"" ""horrible,"" ""waste of time and money,"" and ""gross"" indicate a very negative sentiment. There are no positive remarks or redeeming qualities mentioned.
Stars: 1",1,"The reviewer expresses strong dissatisfaction throughout the review. They criticize the freshness and quality of the food, the attitude of the staff, and the overall experience. Words like ""less than fresh,"" ""super surley,"" ""depressing,"" ""inedible,"" ""just blah,"" ""horrible,"" ""waste of time and money,"" and ""gross"" indicate a very negative sentiment. There are no positive remarks or redeeming qualities mentioned.",False
"I would give this place 2.5 stars.\nThere was nothing really terrible about kofusion but there wasn't anything that great about it either!\nAtmosphere- fine. A little sparkly for my taste but whatever. It was busy, otherwise sitting outside on the patio would have been much nicer.\nService- I know it was busy but the service was a mess. The food came out really fast but none of us had chopsticks, or soy sauce, or ginger, or wasabi, and they were about to just leave us! Not to mention trying to get a drink!\nFood- pretty bland and mushy with a couple good standouts on my sampler plate. I swear, one of the bad ones must have been the bologna of the sea because it looked/tasted like a hunk of spam stuffed into a roll form topped with some sauce. I spit that one out. \nThere were a couple good pieces that after I try every other sushi restaurant in C-U I might come back for.",2,"Reasoning: The reviewer explicitly states they would give 2.5 stars, indicating a below-average experience. They mention nothing was terrible but also nothing great. The atmosphere was just ""fine,"" but not to their taste. Service was described as a ""mess,"" with missing essentials and difficulty getting drinks, despite the food arriving quickly. The food was mostly bland and mushy, with only a couple of good items; one piece was so bad they spit it out. The reviewer might return only after trying every other sushi restaurant, suggesting low enthusiasm. Overall, the tone is disappointed but not angry, with some redeeming qualities.
Stars: 2",2,"The reviewer explicitly states they would give 2.5 stars, indicating a below-average experience. They mention nothing was terrible but also nothing great. The atmosphere was just ""fine,"" but not to their taste. Service was described as a ""mess,"" with missing essentials and difficulty getting drinks, despite the food arriving quickly. The food was mostly bland and mushy, with only a couple of good items; one piece was so bad they spit it out. The reviewer might return only after trying every other sushi restaurant, suggesting low enthusiasm. Overall, the tone is disappointed but not angry, with some redeeming qualities.",False
"I'm on a quest to find a phoenix and dragon similar to my favorite Chinese place in Indy. This is the closet I've come, much to my disappointment. This restaurant keeps getting into my apartment building, despite the security doors. Today they just stuck them in the elevator. Which I thought was pretty neat compared to their normal door spamiming. Then I went down to the first floor and realized they also just scattered them all over the floor.\n\nIn my phoenix and dragon I had five \""jumbo\"" shrimps. Which are really just average sized shrimp. The only thing I can think of is that they consider the mini shrimp some Chinese places have as normal. I guess compared to those the shrimp is jumbo. The \""spicy chicken\"" is just general tso's. I got medium spice which was barely spicy at all. Most of my dish ended up being peas, carrots, and onions in a weird \""spicy\"" sauce that wasn't very good.\n\nI also got the rangoons. Some one else mentioned in this that they don't really have much crab. Which is an understatement. There's maybe a flick of crab in each. They're still fairly good, just not crab.\n\nI suppose the worst part was delivery time. The confirmation email doesn't come with a estimated delivery. Whatever, my boyfriend and I expect 40 minutes like normal. 40 minute mark rolls around and we haven't gotten a call. Since our buzzer system isn't set up we were worried that they didn't see the note to call and were buzzing us. The person who answers says it's in the car and close. 20 minutes later we're still waiting. My boyfriend calls back and goes to give his info. The lady says, \""Oh, you just called. It's almost there,\"" and that was it. Uhm. Ok. A little less than 10 minutes later and it arrives. The driver apologized and It was still hot. So there's that.\n\ntl;dr small portions, not jumbo shrimp, not spicy, not very good, long wait, unfriendly staff on the phones, friendly drivers, and they litter my apartment building a lot.",1,"Reasoning: The reviewer expresses disappointment with the food, noting that the ""jumbo"" shrimp were just average, the spicy chicken was not spicy, and the dish was mostly vegetables in a sauce they didn't like. The rangoons were described as lacking crab, though still ""fairly good."" The reviewer also complains about the restaurant's advertising practices and delivery issues, including a lack of estimated delivery time and confusion with the buzzer system. Overall, the tone is negative with only minor positives.
Stars: 2",2,"The reviewer expresses disappointment with the food, noting that the ""jumbo"" shrimp were just average, the spicy chicken was not spicy, and the dish was mostly vegetables in a sauce they didn't like. The rangoons were described as lacking crab, though still ""fairly good."" The reviewer also complains about the restaurant's advertising practices and delivery issues, including a lack of estimated delivery time and confusion with the buzzer system. Overall, the tone is negative with only minor positives.",False
Really good Chinese food.  The duck and pork noodle soup is awesome.  Portions are not that generous so be advised but worth it for Chinese hotel strip food.,4,"Reasoning: The reviewer praises the quality of the Chinese food, specifically mentioning that the duck and pork noodle soup is ""awesome."" However, they note that the portions are not generous, which is a minor negative. Despite this, they still consider the food ""worth it"" for the location. The overall sentiment is positive with a small caveat about portion size.
Stars: 4",4,"The reviewer praises the quality of the Chinese food, specifically mentioning that the duck and pork noodle soup is ""awesome."" However, they note that the portions are not generous, which is a minor negative. Despite this, they still consider the food ""worth it"" for the location. The overall sentiment is positive with a small caveat about portion size.",False
"777.... that's it, you don't wanna try anything else, best steak ever. Never disappoints you..my favorite late night dinning place",5,"Reasoning: The reviewer is highly enthusiastic, using phrases like ""best steak ever,"" ""never disappoints you,"" and calling it their ""favorite late night dining place."" There are no negative comments, and the tone is extremely positive and satisfied.
Stars: 5",5,"The reviewer is highly enthusiastic, using phrases like ""best steak ever,"" ""never disappoints you,"" and calling it their ""favorite late night dining place."" There are no negative comments, and the tone is extremely positive and satisfied.",False
"Wow. This was a waste of time. It seemed that they wanted to teach about a couple of habitats and be a zoo but they didn't have enough funds to realize the objective. There are a few animals and some displays about habitats, but we found this to be really disappointing.",1,"Reasoning: The reviewer describes their experience as a ""waste of time"" and ""really disappointing."" They mention that the place did not meet its objectives due to lack of funds, and there were only a few animals and displays. The overall tone is negative, with no positive aspects mentioned.
Stars: 1",1,"The reviewer describes their experience as a ""waste of time"" and ""really disappointing."" They mention that the place did not meet its objectives due to lack of funds, and there were only a few animals and displays. The overall tone is negative, with no positive aspects mentioned.",False
