review,stars,raw_output,stars_pred,explanation
Really good Chinese food.  The duck and pork noodle soup is awesome.  Portions are not that generous so be advised but worth it for Chinese hotel strip food.,4,"{""stars"": 4, ""explanation"": ""Positive comments about food quality with a minor critique on portion size.""}",4,Positive comments about food quality with a minor critique on portion size.
"777.... that's it, you don't wanna try anything else, best steak ever. Never disappoints you..my favorite late night dinning place",5,"{""stars"": 5, ""explanation"": ""The reviewer expresses consistent satisfaction and calls it their favorite place.""}",5,The reviewer expresses consistent satisfaction and calls it their favorite place.
"Wow. This was a waste of time. It seemed that they wanted to teach about a couple of habitats and be a zoo but they didn't have enough funds to realize the objective. There are a few animals and some displays about habitats, but we found this to be really disappointing.",1,"{""stars"": 2, ""explanation"": ""The reviewer expresses clear disappointment and notes several shortcomings, but does not mention any severe issues.""}",2,"The reviewer expresses clear disappointment and notes several shortcomings, but does not mention any severe issues."
"Meh... It was just ok. The food looked better than it tasted :-/  I had the BBQ chicken, greens, and mac & cheese. I would give it another try, but order other items from the menu. \n\nAside from that, the service and atmosphere were great!",3,"{""stars"": 3, ""explanation"": ""The reviewer found the food mediocre but appreciated the service and atmosphere.""}",3,The reviewer found the food mediocre but appreciated the service and atmosphere.
"Complete, utter, crap. Ignored by servers for hours after we sat down and it was not busy there.\n\nHad to ask for everything. Forks? Yup we didn't get those. Water? Had to constantly ask for refills by flagging down any passing staff.\n\nYou may think the food is really good only if you haven't actually traveled outside of the fast food box.\n\nI thought it was mediocre at best, but combine that with the horrible staff and the only experience you will have here is boredom.",1,"{""stars"": 1, ""explanation"": ""Severe dissatisfaction with both service and food, with no redeeming qualities mentioned.""}",1,"Severe dissatisfaction with both service and food, with no redeeming qualities mentioned."
"I want to start off by saying I usually hate fish and chips but agreed to try this place out with my friend as per our usual yelp event. I instantly loved it. the restaurant itself is very casual laid back feel, we ate outside however. The service was good as well. \n\nI ordered the salmon fish and chips in  a Guinness batter and my friend ordered the cod. We swapped one each so we can try both. I personally enjoyed the salmon more but they were both delicious. We also both split the popcorn shrimp which were great. \n\nA great fish and chips joint with quality ingredients thumbs up!",3,"{""stars"": 5, ""explanation"": ""The reviewer expresses surprise at how much they enjoyed the food, praises both dishes and service, and gives an overall strong endorsement.""}",5,"The reviewer expresses surprise at how much they enjoyed the food, praises both dishes and service, and gives an overall strong endorsement."
"Worst service I have ever recieved. I go to this Starbucks a lot because it's on my way to work and everytime I regret it. The service is slow, even when I'm the only person in the drive thru. It take them forever to even greet me, and the coffee isn't that great either",1,"{""stars"": 1, ""explanation"": ""Consistently poor service and disappointing product quality described.""}",1,Consistently poor service and disappointing product quality described.
"Conveniently located inside of Caesars Palace... However, they're not a part of the Total Rewards program that Caesars is a part of. \n\nWhy would this matter? Well, cause you can't claim your free birthday drink here! \n\nWhile not my personal favorite, it's not a bad bar to try...",3,"{""stars"": 3, ""explanation"": ""The review mentions some drawbacks but also notes the bar is not bad overall.""}",3,The review mentions some drawbacks but also notes the bar is not bad overall.
"Food was creative, flavored were good. Appetizer portions reasonable for the price and quality. Main courses however is where they fall short. Portions were far too small for the price, about $6-10 more than should be depending on what you order. Bread was a but dry for brioche but a nice light bread to have with the meal. Wine selection is very good and varied. Coming from a food town like Portland, this restaurant is nothing special but is a great addition to the chandler/sun lakes area. I would not return for dinner but would for apps and a glass of wine. They were not very busy for a Friday night either so I suspect many others feel it is overpriced for dinner, too. Would re-evaluate that for longevity.\nNice atmosphere too despite odd strip mall style location.",3,"{""stars"": 3, ""explanation"": ""The review highlights both positives and negatives, with praise for appetizers and wine but criticism of main course value and portion sizes.""}",3,"The review highlights both positives and negatives, with praise for appetizers and wine but criticism of main course value and portion sizes."
"Decided to take the family out to a nice brunch, so we decided to go here. We heard good reviews so we decided to give it a try. The breakdown: Lakeview was great. The service was lagging. Constantly had to remind our server to refill waters. (Even when his section was empty). Appetizers took 30min for salmon tartare and French onion soup. By the time we got our main course we were full on bread and patience. First time here = bad experience. Food overall was ok. There's no definite wow factor.",2,"{""stars"": 2, ""explanation"": ""The review highlights slow service and a disappointing experience, with only average food.""}",2,"The review highlights slow service and a disappointing experience, with only average food."
"boston's. dirty, dirty, dirty boston's. \n\nthe beer is flat, the decor is deteriorating before your eyes (literally saw a ceiling tile fall on someone.), and the offtrack betting is amazing and makes you feel even dirtier!\n\nbut this is a dive bar and you should have no standards when you walk in here. if you have standards all the time you should probably go hit up some glitzy, clean chain bar that serves those drinks with little umbrellas in them. this is dirty boston's.\n\nthey serve minipitchers during happy hour for around 3.50 depending on if you like domestic or you want to get fancy with an imported beer. service has always been friendly and actually pretty prompt. bathrooms are scary, but c'mon, didn't i tell you this was a dive bar? don't go looking for ambience, just come here if you'd like to get really drunk really fast. priorities.",3,"{""stars"": 3, ""explanation"": ""The reviewer notes significant negatives about cleanliness and atmosphere but also highlights friendly service and good drink deals, accepting the dive bar experience.""}",3,"The reviewer notes significant negatives about cleanliness and atmosphere but also highlights friendly service and good drink deals, accepting the dive bar experience."
The staff was very friendly and accommodating and the atmosphere was delightful.  However the food was just OK and somewhat overpriced.,3,"{""stars"": 3, ""explanation"": ""Positive comments about service and atmosphere are offset by mediocre food and high prices.""}",3,Positive comments about service and atmosphere are offset by mediocre food and high prices.
"Really enjoyed our stay here.  The room was quite and very comfortable. \n\nThe restaurant had great food.  Our waiter Ish was very knowledgable and provided excellent service.\n\nThe Well Spa was very relaxing.  I had a pedicure and gel manicure from Dan.  He did a wonderful job, was very professional as well as personable.  If I lived here, I would utilize Dan's services on a regular basis.",5,"{""stars"": 5, ""explanation"": ""Multiple aspects praised including room, food, service, and spa experience.""}",5,"Multiple aspects praised including room, food, service, and spa experience."
"We were so excited to try a restaurant at SLS. What a letdown. Terrible service. The waitress never came by the table after the food was brought out so we couldn't inform her that our burgers were cold and our orders were wrong. Our drinks hadn't been refilled at all. You'd think at $8 a beer they'd at least offer to get you another one. I know they're new, but at $15 a burger, they should have great service to compensate.",1,"{""stars"": 1, ""explanation"": ""The review details multiple issues with service and food quality, expressing strong disappointment.""}",1,"The review details multiple issues with service and food quality, expressing strong disappointment."
"Seriously one of the best meals I've ever eaten. Ordered the Wellington, chorizo stuffed lobster tail, onion soup, green salad & rib eye. All absolutely amazing! Service was awesome place was cool worth every penny. If you are havin hard time thinking prices are high it's def worth it. Will go back my next Vegas trip!",5,"{""stars"": 5, ""explanation"": ""The reviewer raves about both the food and service, finds the experience worth the price, and expresses intent to return.""}",5,"The reviewer raves about both the food and service, finds the experience worth the price, and expresses intent to return."
"I've been here 3 times.  Twice thru the drive thru and the last time I dined in.  So glad I did.  One of the cooks (stawky white guy) wasn't wearing gloves.  Then he went to the restroom and bumped my chair and elbow in passing without a word. I went to use the bathroom and guess what, no paper towels.  So I used the blower which made a lot of noise.  That told me the cook failed to wash his hands.  When I walked out of the bathroom,  he had a hand full of bacon.  My friend had the bacon burger lol.  Oh,  did I mention that when he bent over all you saw was crack.  I'll go back but only if he's not there. The burgers and fries are great.",3,"{""stars"": 2, ""explanation"": ""Despite enjoying the food, the reviewer had significant concerns about hygiene and staff behavior.""}",2,"Despite enjoying the food, the reviewer had significant concerns about hygiene and staff behavior."
"A \""5\"" for the Dosa, Lassi's, and the service!  On a separate occasion we took in-laws (from India) for the lunch buffet; they said it was the best they've had in a long time.  I would love to see them offer a Chinese Dosa or Genie Dosa!",5,"{""stars"": 5, ""explanation"": ""Highly positive feedback on food and service, plus praise from in-laws and suggestions for menu expansion.""}",5,"Highly positive feedback on food and service, plus praise from in-laws and suggestions for menu expansion."
"A few people have told me that La Paz just isn't the same since their move. Back in the day, they were a frequent lunch place of mine when they were on South Blvd.  I wasn't sure what to expect, but went with an open mind.\n\nOn my first visit I had the fish tacos - well one fish and one shrimp.  They were very accommodating in allowing me to try one of each.  They were good.  I would order them again.\n\nThe five stars come from my second visit.  I had the shrimp and steak salad.  They cook the steak perfectly to medium, as requested and the salad is simply phenomenal!   Their sun-dried tomato vinaigrette is delicious and was the perfect match.  If you have to eat a healthy salad, this is the one to pick.  The meat is spicy, tender and char-grilled.  \n\nIf you go to La Paz with expectations of their former self you might be disappointed.  I think they did a great job.  New look, new menu....just the name remains.  Plus, their house wine is one of my favorites.  How can that be bad?",5,"{""stars"": 5, ""explanation"": ""The reviewer expresses high satisfaction with the food, service, and overall experience, justifying a five-star rating.""}",5,"The reviewer expresses high satisfaction with the food, service, and overall experience, justifying a five-star rating."
I would give it a zero if I could brings a very unsightly crowd to a good area.,1,"{""stars"": 1, ""explanation"": ""The reviewer expresses strong dissatisfaction and wishes to give the lowest possible rating.""}",1,The reviewer expresses strong dissatisfaction and wishes to give the lowest possible rating.
So I will start off by saying about a month ago I was yelling to the TOP of my lungs everyone needs to visit the Fremont Casino its my favorite place!!!  They have the best tables!\n\nSadly I had a horrible experience and it has permanently changed my views of this place. I was playing at the Craps table ($3) and this very loud group next to me was playing and the man next to me on multiple occasion kept thinking my money was his. So in my mind I am like why aren't these people doing anything to prevent this? So it got so bad that they actually had to go look at the tape.\n\nSo here is my real issue. The man argued to the staff that it was his money on the table and I was nicely sad that it was mine but the game in no way could be stop while the conflict got resolved. So Money that no one could confirm sat on the table when all I wanted to was grab my money and leave. The Manager on duty Monica  was so rude to me she did look at the tape (for 10-15 mins) and saw that it was my money and when I asked for my $3 back YES $3 that they couldn't confirm that was mine she tried to tell me I was trying to get over and scamming them. I WAS LIKE ARE YOU SERIOUS you guys make $3 in 0.02 seconds and you can't afford to give me $3???? She told me I had to make an appointment to speak to someone higher than her. the customer service was TERRRRIBLE and it did not stop there.\n\nThe next morning I called and asked to speak to the Operations Manager and he got on the phone and told me he would take a look at it and give me a call back and pretty much said what do you want and we cant give you anything more than $3. I NEVER HEARD FROM THIS MAN EVER AGAIN! \n\nand I made it clear if you would've given me the stinking $3 I would've given it right back to you at the craps table. \n\n\nJust be careful at this place... I am so sad that this happened to me at my FAVORITE place.,1,"{""stars"": 1, ""explanation"": ""The reviewer describes a negative experience with staff, unresolved conflict, and poor customer service.""}",1,"The reviewer describes a negative experience with staff, unresolved conflict, and poor customer service."
Not impressed. It does NOT resemble a cave so don't be expecting any cool ambiance.  A 4oz piece of fish or chicken is $15-20. Not worth it. Small plates are enough for 1 person. Don't go here hungry.....,2,"{""stars"": 2, ""explanation"": ""Negative comments about ambiance, value, and portion sizes with little to no positive feedback.""}",2,"Negative comments about ambiance, value, and portion sizes with little to no positive feedback."
The crew here is the best...The hawaiian guy in the front makes you not even think about stealing. The mobile department always hooks it up when it comes to the best plans. Great staff!,4,"{""stars"": 5, ""explanation"": ""The reviewer gives high praise to the staff and service, indicating a very positive experience.""}",5,"The reviewer gives high praise to the staff and service, indicating a very positive experience."
It is pretty good place to get boba. The snow ice is good and sweet. Only problem i have with this place  is that the service is not that great. I keep coming back because the boba is good.,4,"{""stars"": 4, ""explanation"": ""Positive comments about food outweigh the criticism of service, and the reviewer is a repeat customer.""}",4,"Positive comments about food outweigh the criticism of service, and the reviewer is a repeat customer."
"Time: End of June, Sunday Brunch \nSmoked Bacon: 5 stars, was one of the best I've had\nPorridge: 5 stars, simple and yum.\n\nEverything else was close to at par. I won't be coming back.",3,"{""stars"": 4, ""explanation"": ""Some dishes were rated excellent, but the overall experience was average and not compelling enough to return.""}",4,"Some dishes were rated excellent, but the overall experience was average and not compelling enough to return."
